year,cpue
1970,0.1891891891891892
1971,0.07432432432432433
1972,0.053763440860215055
1973,0.060240963855421686
1974,0.08235294117647059
1975,0.05172413793103448
1976,0.1282051282051282
1977,0.21818181818181817
1978,0.5673076923076923
1979,0.46987951807228917
1980,0.17073170731707318
1981,0.17721518987341772
1982,0.09278350515463918
1983,0.13592233009708737
1984,2.3465346534653464
1985,1.3333333333333333
1986,0.9534883720930233
1987,0.24050632911392406
1988,0.14432989690721648
1989,0.17391304347826086
1990,2.8640776699029127
1991,2.1065573770491803
1992,1.5977011494252873
1993,0.826530612244898
1994,0.9224137931034483
1995,0.6058823529411764
1996,0.8034188034188035
1997,1.1791907514450868
1998,1.463855421686747
1999,1.955223880597015
2000,1.2702702702702702
2001,2.23943661971831
2002,4.672413793103448
2003,5.011695906432749
2004,4.107142857142857
2005,4.977777777777778
2006,2.024
2007,5.538461538461538
2008,4.235714285714286
2009,2.0584795321637426
2010,1.1946308724832215
2011,1.7647058823529411
2012,2.1
2013,1.3622047244094488
2014,2.0110497237569063
2015,3.127659574468085
2016,4.241610738255034
2017,7.54
2018,2.123809523809524
2019,1.778523489932886
2020,3.581818181818182
2021,5.128
2022,7.158730158730159
