length_num,year
16,1984
19,1984
19,1984
21,1984
28,1984
24,1984
22,1984
21,1984
23,1984
21,1984
24,1984
25,1984
22,1984
24,1984
24,1984
55,1984
22,1984
24,1984
28,1984
25,1984
23,1984
24,1984
27,1984
24,1984
25,1984
26,1984
22,1984
22,1984
23,1984
23,1984
23,1984
24,1984
24,1984
24,1984
24,1984
24,1984
24,1984
25,1984
26,1984
27,1984
21,1984
21,1984
22,1984
24,1984
25,1984
25,1984
27,1984
21,1984
22,1984
22,1984
23,1984
25,1984
27,1984
32,1984
27,1984
23,1984
24,1984
49,1984
24,1984
25,1984
25,1984
22,1984
23,1984
23,1984
25,1984
25,1984
25,1984
29,1984
33,1984
22,1984
23,1984
23,1984
24,1984
24,1984
24,1984
24,1984
24,1984
25,1984
25,1984
26,1984
26,1984
26,1984
26,1984
30,1984
22,1984
23,1984
24,1984
24,1984
25,1984
25,1984
25,1984
26,1984
26,1984
28,1984
27,1984
31,1984
29,1984
25,1984
28,1984
31,1984
32,1984
28,1984
27,1984
27,1984
28,1984
30,1984
25,1984
25,1984
26,1984
23,1984
24,1984
24,1984
24,1984
25,1984
25,1984
25,1984
25,1984
25,1984
25,1984
25,1984
25,1984
25,1984
25,1984
25,1984
25,1984
26,1984
26,1984
26,1984
26,1984
26,1984
26,1984
26,1984
26,1984
26,1984
26,1984
26,1984
26,1984
27,1984
27,1984
27,1984
27,1984
27,1984
27,1984
27,1984
27,1984
27,1984
27,1984
27,1984
28,1984
28,1984
28,1984
28,1984
28,1984
28,1984
28,1984
29,1984
29,1984
29,1984
30,1984
33,1984
35,1984
25,1984
25,1984
26,1984
26,1984
26,1984
26,1984
26,1984
27,1984
27,1984
28,1984
26,1984
31,1984
24,1984
24,1984
26,1984
26,1984
26,1984
26,1984
28,1984
25,1984
25,1984
26,1984
25,1984
25,1984
27,1984
28,1984
60,1984
24,1984
26,1984
27,1984
29,1984
24,1984
25,1984
28,1984
31,1984
26,1984
26,1984
27,1984
25,1984
28,1984
29,1984
31,1984
24,1984
24,1984
25,1984
29,1984
34,1984
35,1984
24,1984
26,1984
26,1984
27,1984
28,1984
23,1984
25,1984
25,1984
26,1984
27,1984
27,1984
27,1984
28,1984
28,1984
25,1984
26,1984
27,1984
28,1984
29,1984
31,1984
27,1984
30,1984
28,1984
26,1984
30,1984
24,1984
16,1984
32,1984
26,1985
29,1985
30,1985
31,1985
30,1985
33,1985
19,1985
30,1985
25,1985
30,1985
25,1985
29,1985
30,1985
26,1985
29,1985
26,1985
29,1985
31,1985
32,1985
34,1985
23,1985
24,1985
25,1985
25,1985
26,1985
27,1985
27,1985
28,1985
28,1985
29,1985
30,1985
30,1985
32,1985
23,1985
26,1985
27,1985
28,1985
26,1985
28,1985
24,1985
26,1985
28,1985
31,1985
26,1985
27,1985
27,1985
24,1985
25,1985
26,1985
27,1985
27,1985
27,1985
28,1985
26,1985
26,1985
26,1985
29,1985
31,1985
34,1985
28,1985
30,1985
31,1985
33,1985
24,1985
28,1985
30,1985
30,1985
30,1985
27,1985
27,1985
28,1985
28,1985
28,1985
28,1985
29,1985
29,1985
29,1985
30,1985
30,1985
30,1985
31,1985
32,1985
28,1985
29,1985
30,1985
30,1985
32,1985
34,1985
28,1985
30,1985
30,1985
30,1985
35,1985
27,1985
28,1985
28,1985
29,1985
29,1985
29,1985
28,1985
29,1985
32,1985
27,1985
27,1985
30,1985
29,1985
32,1985
32,1985
30,1985
33,1985
29,1985
28,1985
29,1985
30,1985
31,1985
33,1985
29,1985
29,1985
29,1985
32,1985
32,1985
34,1985
30,1985
30,1985
32,1985
31,1985
31,1985
34,1985
43,1985
28,1985
30,1985
32,1985
37,1986
30,1986
28,1986
32,1986
34,1986
33,1986
34,1986
36,1986
31,1986
33,1986
33,1986
34,1986
32,1986
34,1986
35,1986
28,1986
28,1986
28,1986
28,1986
32,1986
28,1986
29,1986
34,1986
36,1986
33,1986
33,1986
37,1986
28,1986
28,1986
29,1986
29,1986
30,1986
32,1986
31,1986
27,1986
32,1986
32,1986
34,1986
32,1986
32,1986
32,1986
33,1986
36,1986
38,1986
65,1986
34,1986
34,1986
34,1986
36,1986
38,1986
41,1986
33,1986
35,1986
37,1986
37,1986
37,1986
30,1986
32,1986
32,1986
33,1986
33,1986
33,1986
33,1986
34,1986
34,1986
35,1986
35,1986
36,1986
36,1986
41,1986
35,1986
36,1986
36,1986
36,1986
38,1986
36,1986
31,1986
34,1986
27,1986
29,1986
40,1986
35,1986
37,1987
31,1987
33,1987
38,1987
36,1987
55,1987
43,1987
37,1987
40,1987
37,1987
38,1987
40,1987
37,1987
59,1987
39,1987
39,1987
40,1987
40,1987
41,1987
41,1988
45,1988
41,1988
43,1988
52,1988
45,1988
43,1988
50,1988
59,1988
42,1988
28,1988
22,1988
27,1988
22,1988
41,1989
28,1989
23,1989
29,1989
31,1989
48,1989
31,1989
9,1989
10,1989
11,1989
8,1989
57,1989
8,1989
11,1989
34,1989
25,1989
23,1990
26,1990
39,1990
18,1990
14,1990
33,1990
18,1990
48,1990
17,1990
22,1990
50,1990
29,1990
28,1990
25,1990
33,1990
30,1990
20,1990
22,1990
22,1990
22,1990
22,1990
23,1990
24,1990
20,1990
22,1990
24,1990
24,1990
25,1990
25,1990
26,1990
21,1990
22,1990
24,1990
24,1990
25,1990
26,1990
26,1990
27,1990
27,1990
29,1990
22,1990
23,1990
25,1990
26,1990
28,1990
31,1990
32,1990
23,1990
24,1990
25,1990
20,1990
22,1990
22,1990
22,1990
22,1990
22,1990
22,1990
22,1990
23,1990
23,1990
23,1990
23,1990
23,1990
23,1990
24,1990
24,1990
24,1990
24,1990
24,1990
24,1990
24,1990
24,1990
25,1990
25,1990
25,1990
26,1990
26,1990
26,1990
26,1990
26,1990
26,1990
27,1990
30,1990
31,1990
31,1990
31,1990
31,1990
31,1990
31,1990
52,1990
24,1990
25,1990
21,1990
21,1990
21,1990
22,1990
22,1990
22,1990
22,1990
23,1990
23,1990
24,1990
24,1990
24,1990
24,1990
25,1990
25,1990
21,1990
23,1990
16,1990
19,1990
19,1990
19,1990
20,1990
20,1990
22,1990
22,1990
23,1990
23,1990
23,1990
23,1990
23,1990
24,1990
24,1990
25,1990
25,1990
26,1990
26,1990
27,1990
31,1990
31,1990
31,1990
31,1990
31,1990
21,1990
21,1990
22,1990
23,1990
23,1990
23,1990
25,1990
26,1990
24,1990
20,1990
26,1990
25,1990
25,1990
26,1990
28,1990
24,1990
28,1990
20,1990
21,1990
21,1990
23,1990
25,1990
26,1990
26,1990
26,1990
26,1990
26,1990
27,1990
27,1990
27,1990
27,1990
27,1990
27,1990
27,1990
27,1990
27,1990
28,1990
28,1990
28,1990
28,1990
28,1990
28,1990
28,1990
28,1990
29,1990
29,1990
29,1990
30,1990
30,1990
19,1990
20,1990
27,1990
28,1990
29,1990
29,1990
30,1990
21,1990
28,1990
29,1990
29,1990
30,1990
30,1990
29,1990
22,1990
28,1990
27,1990
28,1990
24,1990
27,1990
28,1990
23,1990
29,1990
29,1990
30,1990
29,1990
31,1990
25,1990
26,1990
26,1990
27,1990
28,1990
29,1990
29,1990
30,1990
30,1990
31,1990
23,1990
26,1990
21,1990
21,1990
22,1990
24,1990
28,1990
31,1990
24,1990
24,1990
23,1990
25,1990
26,1990
23,1990
23,1990
26,1990
30,1990
15,1990
24,1990
28,1990
29,1990
21,1990
23,1990
27,1990
31,1990
20,1990
22,1990
23,1990
21,1990
23,1990
28,1990
13,1990
21,1990
22,1990
22,1990
24,1990
29,1990
20,1990
21,1990
22,1990
22,1990
23,1990
24,1990
24,1990
25,1990
25,1990
29,1990
15,1990
21,1990
22,1990
22,1990
23,1990
23,1990
20,1990
29,1990
21,1990
22,1990
23,1990
24,1990
27,1990
27,1990
20,1990
28,1990
29,1990
20,1990
21,1990
23,1990
25,1990
22,1990
19,1990
20,1990
20,1990
21,1990
21,1990
22,1990
22,1991
23,1991
23,1991
30,1991
22,1991
29,1991
32,1991
31,1991
27,1991
32,1991
27,1991
50,1991
27,1991
28,1991
31,1991
29,1991
29,1991
32,1991
27,1991
29,1991
30,1991
32,1991
22,1991
27,1991
27,1991
29,1991
29,1991
30,1991
33,1991
30,1991
33,1991
22,1991
26,1991
31,1991
25,1991
31,1991
61,1991
28,1991
29,1991
27,1991
27,1991
30,1991
21,1991
26,1991
27,1991
27,1991
29,1991
30,1991
30,1991
30,1991
31,1991
31,1991
29,1991
27,1991
28,1991
30,1991
30,1991
22,1991
30,1991
30,1991
30,1991
32,1991
32,1991
33,1991
18,1991
31,1991
31,1991
23,1991
27,1991
28,1991
29,1991
31,1991
31,1991
31,1991
32,1991
33,1991
34,1991
73,1991
25,1991
29,1991
29,1991
30,1991
30,1991
25,1991
27,1991
27,1991
29,1991
29,1991
33,1991
23,1991
24,1991
26,1991
28,1991
29,1991
30,1991
30,1991
31,1991
31,1991
25,1991
28,1991
35,1991
32,1991
34,1991
23,1991
22,1991
21,1991
23,1991
33,1991
25,1991
20,1991
20,1991
20,1991
21,1991
21,1991
22,1991
22,1991
22,1991
22,1991
22,1991
22,1991
22,1991
23,1991
23,1991
23,1991
23,1991
23,1991
23,1991
23,1991
23,1991
23,1991
23,1991
23,1991
23,1991
24,1991
24,1991
24,1991
24,1991
24,1991
24,1991
24,1991
24,1991
24,1991
25,1991
25,1991
25,1991
25,1991
25,1991
25,1991
25,1991
26,1991
26,1991
27,1991
27,1991
27,1991
27,1991
28,1991
28,1991
29,1991
30,1991
21,1991
22,1991
22,1991
22,1991
23,1991
23,1991
23,1991
24,1991
24,1991
27,1991
28,1991
28,1991
28,1991
20,1991
20,1991
22,1991
22,1991
23,1991
23,1991
24,1991
24,1991
24,1991
25,1991
25,1991
27,1991
30,1991
31,1991
22,1991
22,1991
23,1991
23,1991
24,1991
24,1991
24,1991
29,1991
21,1991
21,1991
22,1991
28,1991
25,1991
30,1991
26,1991
27,1991
29,1991
26,1991
28,1991
33,1991
25,1991
28,1991
28,1991
28,1991
28,1991
32,1991
35,1991
27,1991
26,1991
30,1991
56,1991
25,1991
35,1991
27,1991
27,1991
28,1991
35,1991
28,1991
28,1991
28,1991
28,1991
28,1991
29,1991
29,1991
30,1991
31,1991
32,1991
29,1991
30,1991
32,1991
28,1991
29,1991
30,1991
37,1991
32,1991
32,1991
27,1991
30,1991
27,1991
29,1991
29,1991
27,1991
24,1991
27,1991
27,1991
33,1991
28,1991
22,1991
23,1991
31,1991
25,1991
29,1992
28,1992
27,1992
31,1992
28,1992
30,1992
31,1992
30,1992
28,1992
35,1992
28,1992
29,1992
30,1992
34,1992
31,1992
10,1992
34,1992
33,1992
36,1992
38,1992
38,1992
27,1992
28,1992
30,1992
30,1992
30,1992
30,1992
32,1992
33,1992
34,1992
29,1992
31,1992
39,1992
29,1992
29,1992
30,1992
30,1992
32,1992
32,1992
33,1992
33,1992
37,1992
32,1992
33,1992
33,1992
35,1992
36,1992
27,1992
28,1992
28,1992
30,1992
32,1992
33,1992
35,1992
35,1992
41,1992
30,1992
31,1992
34,1992
38,1992
26,1992
28,1992
32,1992
33,1992
35,1992
35,1992
26,1992
31,1992
32,1992
34,1992
35,1992
31,1992
31,1992
37,1992
38,1992
42,1992
29,1992
30,1992
31,1992
35,1992
28,1992
29,1992
29,1992
32,1992
32,1992
32,1992
32,1992
33,1992
33,1992
33,1992
39,1992
