"speciesid","nlnaam","ennaam","latnaam","remarks.x","length_num","length_remarks","length_code","vers_gew","deleted_reason.x","fykedate","fykenr","vistijd","temp","zoutgehalte","year","month","decade"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",0.006,NA,2022-09-12,1,25.25,19.8,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",0.006,NA,2022-09-12,1,25.25,19.8,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",0.007,NA,2022-08-31,1,16.75,20.3,32.9,2022,8,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",0.0071,NA,2022-10-03,1,23.15,14.1,32.6,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",0.01,NA,2022-09-12,1,25.25,19.8,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",0.011,NA,2022-09-05,1,24.5,NA,NA,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,15,NA,"10",0.038,NA,2022-10-17,1,46.67,14,30.6,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,38,NA,"10",0.0677,NA,2022-09-27,1,42.17,14.8,33.4,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,19,NA,"10",0.085,NA,2022-09-05,1,24.5,NA,NA,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",0.085,NA,2022-10-03,1,23.15,14.1,32.6,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,23,NA,"10",0.1432,NA,2022-11-07,1,43.5,12.4,30.3,2022,11,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,23,NA,"10",0.1566,NA,2022-10-25,1,48,14.2,31.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,29,NA,"10",0.298,NA,2022-09-27,1,42.17,14.8,33.4,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,31,NA,"10",0.306,NA,2022-10-10,1,24,14.5,31.7,2022,10,"2020s"
